volatile acidity,chlorides,sulphates,alcohol,quality
0.4,0.052,0.9,13.4,2
0.39,0.068,0.46,11.4,1
0.53,0.086,0.59,10.7,1
0.53,0.063,0.83,10.3,1
0.685,0.0579999999999999,0.55,10.9,0
0.52,0.07,0.57,10.0,1
0.47,0.147,0.86,9.9,0
0.745,0.077,0.47,9.7,1
0.29,0.063,0.84,11.7,2
0.46,0.07,0.57,9.6,0
0.24,0.077,1.05,10.8,2
0.685,0.1,0.68,11.2,2
0.54,0.076,0.64,9.8,1
0.47,0.147,0.86,9.9,0
1.09,0.061,0.43,11.4,0
0.765,0.064,0.55,9.4,1
0.24,0.077,1.05,10.8,2
0.88,0.079,0.5,11.2,0
0.56,0.065,0.68,10.55,2
0.44,0.074,0.85,12.0,2
0.55,0.072,0.48,9.0,0
0.39,0.102,0.58,11.4,0
0.53,0.039,0.86,12.4,1
0.67,0.093,0.59,9.2,0
0.635,0.241,0.59,10.3,1
0.47,0.147,0.86,9.9,0
0.67,0.093,0.59,9.2,0
1.09,0.061,0.43,11.4,0
0.955,0.075,0.44,9.6,0
0.64,0.168,0.5,9.5,1
0.61,0.088,0.51,9.3,0
0.24,0.066,0.9,11.0,2
0.41,0.095,0.76,9.9,2
0.55,0.076,0.59,10.1,1
0.615,0.087,0.53,9.7,1
0.24,0.075,1.02,10.8,2
0.49,0.422,1.17,9.0,1
0.34,0.065,0.54,11.2,2
0.725,0.086,0.39,10.9,1
0.67,0.118,0.67,11.3,1
0.62,0.08,0.62,10.1,0
0.295,0.073,0.51,10.9,1
0.98,0.061,0.55,9.7,0
0.42,0.06,0.74,14.0,2
0.44,0.074,0.85,12.0,2
0.84,0.059,0.56,12.3,2
0.56,0.064,0.62,11.7,2
0.34,0.052,0.69,12.1,2
0.58,0.076,0.58,9.5,1
0.24,0.066,0.9,11.0,2
0.935,0.105,0.64,11.3,0
0.26,0.083,0.63,11.8,2
0.68,0.072,1.08,9.2,0
1.58,0.1369999999999999,0.4,10.9,0
1.02,0.045,0.48,10.5,0
0.61,0.2,0.63,8.4,0
0.885,0.0579999999999999,0.33,9.1,0
0.28,0.067,1.04,10.6,1
0.88,0.079,0.5,11.2,0
0.37,0.066,0.6,13.0,2
0.51,0.107,0.66,11.8,2
1.02,0.045,0.48,10.5,0
0.33,0.061,1.1,10.0,2
0.47,0.171,0.76,10.8,1
0.765,0.084,0.68,10.9,1
0.23,0.063,0.63,11.1,1
0.39,0.118,0.75,9.8,1
0.735,0.081,0.57,9.8,1
0.41,0.104,0.58,9.1,1
0.39,0.102,0.58,11.4,0
0.55,0.072,0.48,9.0,0
0.41,0.095,0.76,9.9,2
0.61,0.2,0.63,8.4,0
0.875,0.0819999999999999,0.52,10.2,0
0.56,0.105,0.52,11.0,1
0.3,0.05,0.51,12.3,2
0.31,0.109,0.79,11.8,2
0.58,0.069,0.66,12.6,1
0.31,0.06,0.83,10.9,2
1.02,0.083,0.55,11.2,0
0.25,0.0409999999999999,0.71,12.5,2
1.58,0.1369999999999999,0.4,10.9,0
1.02,0.083,0.55,11.2,0
0.29,0.063,0.84,11.7,2
0.61,0.2,0.63,8.4,0
0.4,0.071,0.69,12.5,2
0.54,0.071,0.62,9.4,1
0.53,0.123,0.67,11.0,0
0.18,0.071,0.76,11.8,2
0.37,0.063,0.81,11.2,2
0.33,0.07,0.77,12.7,2
0.685,0.099,0.6,9.7,1
0.35,0.067,0.54,10.0,0
0.32,0.075,0.71,11.8,2
0.37,0.062,0.73,11.3,2
0.98,0.061,0.55,9.7,0
0.315,0.084,0.7,9.2,1
0.34,0.065,0.54,11.2,2
0.35,0.07,0.91,11.0,1
0.46,0.07,0.57,9.6,0
0.57,0.054,0.84,12.5,2
0.41,0.071,0.49,11.8,2
0.43,0.085,0.55,9.5,1
0.52,0.054,0.56,13.1,0
0.35,0.07,0.65,11.0,2
0.74,0.0409999999999999,0.59,12.5,1
0.55,0.072,0.48,9.0,0
0.4,0.061,0.49,11.3,2
0.54,0.076,0.72,13.1,2
0.76,0.078,0.63,9.95,0
0.57,0.0819999999999999,0.55,9.4,1
0.52,0.073,0.52,9.3,1
0.3,0.068,0.85,11.7,2
0.57,0.12,0.71,11.3,2
0.33,0.077,0.53,10.3,1
0.32,0.073,0.82,12.6,2
0.78,0.059,0.56,11.3,1
0.705,0.092,0.72,10.0,1
0.61,0.2,0.63,8.4,0
0.615,0.083,0.73,10.0,2
0.875,0.0819999999999999,0.52,10.2,0
0.69,0.075,0.61,9.1,1
0.76,0.078,0.63,9.95,0
1.58,0.1369999999999999,0.4,10.9,0
1.04,0.067,0.57,11.0,0
0.33,0.077,0.65,9.3,1
0.37,0.038,0.81,10.8,2
0.59,0.06,0.59,10.8,2
0.935,0.105,0.64,11.3,0
0.87,0.096,0.72,9.8,0
0.885,0.0579999999999999,0.33,9.1,0
0.52,0.071,0.63,11.6,1
0.52,0.054,0.56,13.1,0
0.33,0.073,0.62,12.1,2
0.21,0.09,0.67,10.4,1
0.62,0.08,0.62,10.1,0
0.76,0.078,0.63,9.95,0
0.47,0.048,0.88,13.566666666666698,2
0.66,0.039,0.47,9.4,1
0.39,0.071,0.87,11.2,2
0.44,0.092,0.99,12.0,2
0.35,0.067,0.54,10.0,0
0.24,0.055,0.59,11.3,2
1.04,0.067,0.57,11.0,0
0.67,0.057,0.56,11.8,0
0.3,0.09,0.64,12.1,2
0.84,0.059,0.56,12.3,2
0.54,0.077,0.91,9.4,1
0.935,0.105,0.64,11.3,0
0.41,0.078,0.77,12.6,2
0.26,0.073,0.78,11.3,2
0.32,0.104,0.78,11.0,2
0.955,0.075,0.44,9.6,0
0.415,0.085,0.8,10.0,1
0.39,0.102,0.58,11.4,0
0.44,0.092,0.99,12.0,2
0.68,0.07,0.6,10.3,1
0.59,0.06,0.59,10.8,2
0.27,0.0819999999999999,0.67,9.7,1
0.35,0.078,0.86,12.8,2
0.34,0.064,0.77,12.1,2
0.85,0.093,0.54,10.1,1
0.83,0.095,0.6,10.4,1
0.31,0.06,0.83,10.9,2
0.58,0.062,0.76,11.6,2
0.32,0.104,0.78,11.0,2
0.32,0.073,0.82,12.6,2
0.62,0.068,0.57,11.5,1
0.35,0.066,0.66,12.0,2
0.35,0.067,0.54,10.0,0
0.59,0.065,0.92,10.5,2
1.09,0.061,0.43,11.4,0
0.31,0.078,0.77,12.5,2
0.61,0.088,0.51,9.3,0
0.47,0.147,0.86,9.9,0
0.29,0.048,1.01,12.4,2
0.53,0.123,0.67,11.0,0
0.3,0.062,0.57,11.5,2
0.24,0.055,0.59,11.3,2
0.34,0.055,0.66,11.6,2
0.84,0.059,0.56,12.3,2
0.52,0.61,2.0,9.4,0
0.66,0.077,0.55,10.4,1
0.44,0.077,0.69,11.0,1
0.61,0.2,0.63,8.4,0
0.28,0.092,0.75,10.5,2
0.36,0.098,0.6,10.1,1
0.24,0.055,0.59,11.3,2
0.24,0.055,0.59,11.3,2
0.885,0.086,0.46,10.0,1
0.65,0.065,0.47,10.0,2
0.73,0.081,0.46,9.6,0
0.54,0.088,1.18,10.5,1
0.49,0.068,0.59,12.5,1
0.56,0.114,0.66,9.6,1
0.735,0.1,0.64,9.3,1
0.41,0.055,0.79,13.3,2
0.3,0.062,0.57,11.5,2
0.625,0.08,1.12,9.1,0
0.34,0.052,0.69,12.1,2
0.36,0.111,0.62,11.3,1
0.685,0.0579999999999999,0.55,10.9,0
0.58,0.072,0.56,10.0,1
0.55,0.072,0.48,9.0,0
0.35,0.066,0.66,12.0,2
1.58,0.1369999999999999,0.4,10.9,0
0.33,0.061,1.1,10.0,2
0.75,0.086,0.52,10.1,1
0.53,0.165,0.86,9.2,1
0.57,0.067,0.68,9.5,1
0.47,0.147,0.86,9.9,0
0.69,0.069,0.51,9.5,1
0.76,0.078,0.63,9.95,0
0.955,0.075,0.44,9.6,0
0.31,0.0579999999999999,0.68,11.2,2
0.31,0.078,0.77,12.5,2
0.43,0.071,0.71,10.5,1
0.69,0.091,0.6,11.3,1
0.52,0.07,0.72,12.5,2
0.73,0.081,0.46,9.6,0
0.24,0.077,1.05,10.8,2
0.4,0.061,0.49,11.3,2
0.41,0.078,0.77,12.6,2
0.53,0.123,0.67,11.0,0
0.88,0.086,0.53,9.4,1
0.42,0.054,0.68,10.4,1
0.38,0.073,0.7,9.6,0
0.33,0.057,0.89,11.1,2
0.56,0.079,0.54,11.5,1
0.41,0.071,0.49,11.8,2
0.885,0.0579999999999999,0.33,9.1,0
0.52,0.054,0.56,13.1,0
0.48,0.1009999999999999,0.59,12.1,2
0.69,0.088,0.62,10.1,1
0.37,0.0819999999999999,0.68,9.7,1
0.67,0.057,0.56,11.8,0
0.73,0.081,0.46,9.6,0
0.47,0.071,0.73,10.6,1
0.56,0.0819999999999999,0.44,9.6,1
0.29,0.048,1.01,12.4,2
0.5,0.103,0.52,10.0,0
0.88,0.079,0.5,11.2,0
0.35,0.067,0.54,10.0,0
0.36,0.062,0.67,10.5,1
0.44,0.107,0.83,11.5,1
0.31,0.0819999999999999,0.59,12.5,2
0.395,0.0559999999999999,0.67,12.4,1
0.42,0.074,0.74,12.3,1
0.46,0.077,0.6,10.6,1
0.76,0.078,0.63,9.95,0
0.675,0.084,0.53,9.2,0
0.68,0.072,1.08,9.2,0
0.975,0.087,0.6,9.4,0
0.47,0.084,0.61,9.4,1
0.46,0.07,0.57,9.6,0
0.43,0.106,0.5,9.6,1
0.41,0.055,0.79,13.3,2
0.645,0.075,0.71,10.2,1
0.58,0.088,0.56,10.5,2
0.59,0.06,0.59,10.8,2
0.33,0.057,0.89,11.1,2
0.59,0.06,0.59,10.8,2
0.46,0.065,0.79,14.0,1
0.32,0.0559999999999999,0.82,10.3,2
0.57,0.12,0.71,11.3,2
0.98,0.061,0.55,9.7,0
0.685,0.0579999999999999,0.55,10.9,0
0.48,0.07,0.55,10.3,1
0.47,0.147,0.86,9.9,0
0.865,0.071,0.49,12.7,1
0.27,0.074,1.13,12.0,2
0.885,0.0579999999999999,0.33,9.1,0
0.49,0.081,0.78,10.9,1
0.3,0.05,0.51,12.3,2
0.31,0.0579999999999999,0.68,11.2,2
0.48,0.085,0.61,10.5,1
1.58,0.1369999999999999,0.4,10.9,0
0.31,0.0819999999999999,0.59,12.5,2
0.36,0.074,0.7,11.4,2
0.43,0.078,0.6,9.5,1
0.32,0.073,0.73,11.4,1
0.59,0.093,0.65,9.3,1
0.31,0.0579999999999999,0.68,11.2,2
0.76,0.078,0.63,9.95,0
0.27,0.358,1.08,9.9,2
1.04,0.067,0.57,11.0,0
0.635,0.08,0.69,10.8,2
0.36,0.095,0.57,11.7,1
0.39,0.071,0.87,11.2,2
0.42,0.068,0.69,11.7,2
0.58,0.064,0.58,11.3,1
0.66,0.0969999999999999,0.54,9.6,1
0.38,0.073,0.7,9.6,0
0.4,0.05,0.56,12.0,0
0.42,0.044,0.73,13.6,2
0.35,0.078,0.86,12.8,2
0.33,0.081,0.48,10.4,1
1.02,0.045,0.48,10.5,0
0.47,0.147,0.86,9.9,0
0.48,0.054,0.62,12.2,2
0.95,0.09,0.56,9.6,1
0.57,0.076,0.7,9.6,1
0.52,0.087,0.61,9.5,1
0.63,0.08,0.58,9.8,1
0.3,0.05,0.51,12.3,2
0.53,0.121,0.74,11.5,2
0.4,0.087,0.77,10.5,2
0.39,0.102,0.58,11.4,0
0.46,0.07,0.57,9.6,0
0.74,0.067,0.57,11.8,1
0.33,0.084,0.74,11.2,2
0.87,0.107,0.46,9.2,1
0.4,0.05,0.56,12.0,0
0.59,0.095,0.58,10.3,1
0.49,0.076,0.54,9.7,1
0.76,0.078,0.63,9.95,0
0.53,0.123,0.67,11.0,0
0.875,0.0819999999999999,0.52,10.2,0
0.56,0.078,0.62,9.3,1
0.62,0.068,0.82,9.5,1
0.54,0.049,0.58,11.4,1
0.54,0.0969999999999999,0.61,9.4,1
0.61,0.088,0.51,9.3,0
0.51,0.074,0.56,9.5,1
0.41,0.071,0.49,11.8,2
0.32,0.061,0.8,11.6,2
0.37,0.0819999999999999,0.51,9.5,1
0.42,0.048,0.74,14.0,2
1.58,0.1369999999999999,0.4,10.9,0
0.975,0.087,0.6,9.4,0
0.38,0.073,0.7,9.6,0
0.37,0.066,0.6,13.0,2
0.27,0.074,1.13,12.0,2
0.49,0.332,0.9,10.5,1
0.61,0.081,0.6,9.7,1
0.74,0.094,0.5,9.8,1
0.88,0.079,0.5,11.2,0
0.41,0.091,0.56,10.5,1
0.27,0.0819999999999999,0.52,12.5,2
0.38,0.073,0.7,9.6,0
0.35,0.11,0.7,12.0,2
0.2,0.054,0.8,11.9,2
0.64,0.084,0.54,9.6,1
0.78,0.093,0.47,10.0,1
0.37,0.066,0.72,11.8,1
0.41,0.095,0.76,9.9,2
0.885,0.0579999999999999,0.33,9.1,0
0.61,0.2,0.63,8.4,0
0.55,0.072,0.48,9.0,0
0.18,0.049,0.44,12.7,1
0.53,0.064,0.61,12.1,1
0.27,0.05,0.64,11.0,2
0.37,0.038,0.81,10.8,2
0.51,0.042,0.87,12.9,2
0.35,0.079,0.75,10.4,1
0.46,0.07,0.57,9.6,0
0.49,0.071,0.69,9.2,1
0.85,0.045,0.82,12.9,2
0.48,0.054,0.62,12.2,2
0.88,0.079,0.5,11.2,0
0.38,0.073,0.7,9.6,0
0.35,0.067,0.54,10.0,0
0.49,0.071,0.63,12.0,1
0.955,0.075,0.44,9.6,0
0.61,0.2,0.63,8.4,0
0.31,0.075,0.83,11.2,2
0.27,0.05,0.64,11.0,2
0.785,0.06,0.61,10.0,0
0.35,0.07,0.65,11.0,2
0.41,0.213,0.62,9.5,1
0.43,0.109,0.85,10.4,2
0.35,0.067,0.54,10.0,0
0.42,0.092,0.52,9.2,1
0.52,0.074,0.81,9.6,1
0.6,0.08,0.49,9.9,1
0.4,0.05,0.56,12.0,0
0.53,0.093,0.76,11.6,2
0.4,0.052,0.9,13.4,2
0.26,0.06,0.54,9.6,1
0.27,0.05,0.64,11.0,2
0.29,0.096,0.67,10.1,1
0.41,0.467,1.31,9.3,1
0.61,0.088,0.51,9.3,0
0.65,0.11,0.64,10.4,1
0.3,0.062,0.57,11.5,2
0.73,0.081,0.46,9.6,0
1.02,0.083,0.55,11.2,0
0.76,0.078,0.63,9.95,0
0.38,0.098,0.64,11.4,1
0.7,0.099,0.7,9.4,1
0.88,0.079,0.5,11.2,0
0.76,0.078,0.63,9.95,0
0.62,0.08,0.62,10.1,0
0.52,0.61,2.0,9.4,0
0.44,0.074,0.85,12.0,2
0.32,0.073,0.82,12.6,2
0.635,0.08,0.69,10.8,2
1.02,0.076,0.57,10.1,1
0.88,0.079,0.5,11.2,0
0.625,0.08,1.12,9.1,0
0.49,0.072,0.78,12.5,2
0.62,0.062,0.6,9.3,1
0.58,0.075,0.57,9.7,1
0.91,0.0579999999999999,0.43,10.7,1
0.31,0.109,0.79,11.8,2
0.5,0.071,0.72,9.6,1
0.85,0.045,0.82,12.9,2
0.24,0.077,1.05,10.8,2
0.55,0.077,0.82,11.6,1
1.58,0.1369999999999999,0.4,10.9,0
0.74,0.1,0.59,11.0,1
0.66,0.066,0.58,12.9,1
0.37,0.066,0.6,13.0,2
0.35,0.068,0.6,11.9,1
0.885,0.084,0.53,9.4,1
0.28,0.0819999999999999,1.36,9.8,2
0.42,0.048,0.74,14.0,2
0.35,0.07,0.65,11.0,2
0.31,0.06,0.83,10.9,2
0.73,0.081,0.46,9.6,0
0.625,0.08,1.12,9.1,0
0.35,0.067,0.54,10.0,0
0.62,0.086,0.69,13.4,2
0.31,0.078,0.77,12.5,2
0.38,0.078,0.52,9.9,1
0.76,0.078,0.63,9.95,0
0.58,0.074,0.57,9.0,0
0.52,0.054,0.56,13.1,0
0.875,0.0819999999999999,0.52,10.2,0
0.73,0.081,0.46,9.6,0
0.52,0.091,0.86,10.6,2
0.28,0.074,0.66,9.9,2
0.68,0.072,1.08,9.2,0
0.36,0.08,0.5,9.4,1
0.57,0.073,0.57,9.3,1
0.28,0.105,0.63,9.5,1
0.42,0.044,0.73,13.6,2
0.31,0.085,0.8,10.5,2
0.98,0.061,0.55,9.7,0
0.695,0.128,0.84,12.2,2
0.675,0.084,0.53,9.2,0
1.09,0.061,0.43,11.4,0
0.35,0.07,0.65,11.0,2
0.65,0.089,0.55,9.5,1
0.41,0.093,0.66,10.5,1
0.575,0.077,0.51,9.2,1
1.02,0.083,0.55,11.2,0
0.765,0.078,0.54,9.7,0
0.62,0.072,0.89,11.8,1
0.675,0.084,0.53,9.2,0
0.31,0.0579999999999999,0.68,11.2,2
0.38,0.066,0.73,9.7,2
0.74,0.0409999999999999,0.59,12.5,1
0.88,0.079,0.5,11.2,0
0.5,0.077,0.62,9.4,1
0.48,0.066,0.67,11.2,2
0.51,0.107,0.66,11.8,2
0.26,0.083,0.63,11.8,2
0.67,0.068,0.72,11.1,1
0.28,0.074,0.66,9.9,2
0.6,0.086,0.6,10.8,1
0.42,0.1159999999999999,0.75,11.7,2
0.845,0.07,0.58,11.0,0
0.34,0.065,0.54,11.2,2
0.935,0.105,0.64,11.3,0
1.04,0.067,0.57,11.0,0
0.67,0.057,0.56,11.8,0
0.31,0.0579999999999999,0.68,11.2,2
0.31,0.109,0.79,11.8,2
0.3,0.095,0.77,10.8,2
0.53,0.123,0.67,11.0,0
0.47,0.085,0.68,12.7,1
0.73,0.081,0.46,9.6,0
1.04,0.067,0.57,11.0,0
0.52,0.054,0.56,13.1,0
0.42,0.048,0.74,14.0,2
0.4,0.05,0.56,12.0,0
0.53,0.123,0.67,11.0,0
0.31,0.109,0.79,11.8,2
0.49,0.072,0.78,12.5,2
0.875,0.0819999999999999,0.52,10.2,0
0.42,0.068,0.69,11.7,2
0.18,0.049,0.93,11.3,1
0.39,0.086,0.66,11.6,1
0.5,0.178,0.87,9.8,1
0.58,0.088,0.56,10.5,2
0.45,0.078,1.11,11.0,1
0.675,0.084,0.53,9.2,0
0.52,0.61,2.0,9.4,0
0.63,0.088,0.79,9.3,1
0.31,0.0559999999999999,0.69,11.8,1
0.3,0.08,0.92,11.7,2
0.41,0.083,0.52,9.4,1
0.31,0.08,0.67,9.7,1
0.41,0.095,0.76,9.9,2
0.47,0.094,0.59,9.1,1
0.59,0.065,0.92,10.5,2
0.39,0.071,0.87,11.2,2
0.46,0.07,0.57,9.6,0
1.04,0.067,0.57,11.0,0
0.73,0.081,0.46,9.6,0
0.935,0.105,0.64,11.3,0
1.07,0.178,0.57,9.0,1
0.46,0.078,0.54,9.8,1
0.35,0.067,0.54,10.0,0
1.02,0.045,0.48,10.5,0
